id;desription;latitud;longitud;direction
1;protocol neural-net;47023;60396;Guinea-Bissau
2;Credit Card Account Dale;19715;25872;Consultant synergy
3;Gorgeous Steel Shirt Garden model;1082;6248;Vista
4;Auto Loan Account zero tolerance Research;87088;6307;deposit International systems
5;Colorado;99403;77293;copying copying Danish Krone
6;olive payment;24360;20709;envisioneer content
7;mobile olive;20372;17827;Savings Account XSS capability
8;back-end;61697;31693;Highway azure Maine
9;leading edge Avon;61576;89428;Sausages Cotton circuit
10;mesh;3723;4621;Orchestrator
