id;description;datestart;dateend;availabilityday;availabilitytime;latitud;longitud;duration;intervalduration;cantpeople
1;enterprise;2020-05-26T02:04:09;2020-05-26T19:55:02;Antigua and Barbuda Triple-buffered;dynamic;86222;30594;Continua;compress Credit Card Account wireless;23618
2;Libyan Dinar Organized application;2020-05-26T07:59:38;2020-05-26T17:36:56;synergies Designer homogeneous;Guyana;28180;9805;Unavez;engage orchestration;59474
3;core Borders;2020-05-26T15:39:47;2020-05-25T23:22:54;benchmark Rustic Plastic Car;quantify;4307;63012;Continua;Michigan neural;17404
4;high-level;2020-05-26T13:35:35;2020-05-26T05:45:21;embrace Steel Berkshire;Realigned generate Rubber;32415;57489;Unavez;Fresh Generic productize;55357
5;paradigm;2020-05-26T02:13:46;2020-05-26T21:04:17;Future multi-byte Frozen;user-centric;47638;23240;Continua;plum Unbranded Granite Chicken Computer;93552
6;Metal quantify Ramp;2020-05-26T06:08:47;2020-05-26T03:00:08;Plastic Ergonomic;cross-platform;26380;85444;Unavez;Practical Metal Towels;3356
7;Steel Bedfordshire Representative;2020-05-26T09:59:05;2020-05-26T02:03:28;Dynamic;Infrastructure Wooden;15655;38346;Unavez;Enterprise-wide virtual;70331
8;Cambridgeshire Operations;2020-05-26T14:12:50;2020-05-26T02:59:37;violet Unbranded Granite Towels Streamlined;customized Facilitator indexing;84567;42127;Continua;methodologies;86679
9;digital;2020-05-26T05:28:22;2020-05-25T23:02:27;Buckinghamshire deposit;Director Gorgeous;25984;29799;Unavez;redundant Extended;55598
10;Bypass AGP;2020-05-26T09:45:58;2020-05-25T23:54:44;payment;generate virtual;13966;79962;Unavez;efficient;42756
