id;description;water;calorie;protein;lipid_tot;ash;carbohydrt;fiber;sugar_tot;calcium;iron;magnesium;phosphorus;potassium;sodium;zinc;manganese;vit_c;thiamin;riboflavin;niacin;panto_acid;vit_b_6;folate_tot;folic_acid;food_folate;folate_dfe;vholine_tot;vit_b_12;vit_aiu;vit_arae;vit_e;vit_d;vit_k
1;magenta project;84820;8296;45229;30412;39243;9062;32160;20042;56557;57413;84331;93560;79881;70093;77560;88467;70145;81097;29247;17489;57197;33967;77845;60707;53160;71084;90587;91730;78073;16741;89227;62053;18581
2;Berkshire Industrial;87366;36952;68163;26072;88735;20174;456;61703;54675;80439;22100;70559;77174;69383;33076;95541;19194;55137;79944;92983;36764;49671;53135;1480;62762;49937;9622;19925;20142;39112;99163;53157;10642
3;Auto Loan Account;32343;38757;93132;37081;58772;25577;8183;38638;65565;18157;80785;41737;37542;20985;53323;92227;72094;60935;34230;45629;88146;1048;99977;71453;50623;59536;18775;68130;23066;21010;48625;56007;11640
4;initiatives mindshare Malawi;37296;91055;30271;216;15499;98388;15015;30487;71995;37478;80982;60017;19739;83727;77801;11315;87295;47497;14944;8322;62543;8721;11088;62082;76006;50585;35000;79109;38868;99130;78038;38497;81063
5;Savings Account invoice Licensed;4;73467;97907;45855;81550;18074;54127;39326;78126;27731;25605;36123;43431;76226;7669;30996;16149;54127;37470;14847;63198;17326;62483;85032;88726;31517;69981;23663;23770;59264;84661;85409;27650
6;paradigms Cambridgeshire foreground;64545;20915;69485;55200;99653;20798;62344;629;7218;40562;48886;21202;47068;44146;15145;11888;45431;12944;61782;57386;84561;71;60180;75063;69480;13135;7578;40314;19434;21807;16379;15194;19646
7;Music array;68532;82932;56442;48055;214;35563;3957;84363;31124;29831;81858;8796;68874;89067;39413;61669;61647;22593;78298;86119;97373;10110;69084;66560;41872;97834;54513;95500;39908;15529;36757;26663;24727
8;Mills Graphic Interface;36637;49988;25289;89721;34787;71993;93734;84053;69143;36780;36517;25965;97959;53621;69442;65918;53874;46524;93030;84694;51323;26594;70321;55549;31933;95674;21017;68115;42734;44826;86616;69321;49202
9;Data Bedfordshire Small;20793;84638;81510;30101;54617;92376;50227;15068;30783;34697;26334;76762;53442;87553;62543;86716;26040;44362;2317;90060;47959;68476;72340;74830;98176;37238;74572;70444;47931;84958;71988;96669;90731
10;Malaysia Handmade;6730;80100;61237;58636;92280;2652;5943;6278;76464;6223;85305;35152;4073;69088;44313;92165;49618;70727;66100;16476;66310;16784;35440;3277;97617;85600;83627;52886;61417;3749;5930;60923;35504
