id;razon_social;tipo;description;cuit
1;Intelligent Cotton Gloves frame deposit;OV;Bosnia and Herzegovina Refined Concrete Chair;bandwidth Small
2;wireless Belarussian Ruble;OV;overriding Sri Lanka Rupee;SSL United States of America violet
3;withdrawal;ONG;Customer ADP;Avon
4;Sharable;ONG;grey Peso Uruguayo Uruguay Peso en Unidades Indexadas generate;open architecture Optimization
5;Sierra Leone intermediate;ONG;Parkway;green Compatible
6;Global capacitor Jamaican Dollar;ONG;deposit cross-platform;Canada Yemeni Rial Rustic
7;calculating Generic;ONG;Grocery invoice parse;payment Intelligent 1080p
8;deposit plum;ONG;feed;deposit Engineer
9;payment synthesizing;ONG;Facilitator Representative;driver microchip
10;Villages;OV;GB Legacy Granite;Florida functionalities transparent
